World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Is Correct
AdvAddition_world_val,add_right_eq_zero,"-- Using the theorem that a + succ d = succ (a + d), we get that succ (a + d) = 0.",rw [add_succ] at h,rw [add_succ] at h,"case succ
a d : ℕ
h : succ (a + d) = 0
⊢ a = 0
","case succ
a d : ℕ
h : succ (a + d) = 0
⊢ a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,"-- By the symmetry of equality, we have that 0 = succ (a + d).",symm at h,symm at h,"case succ
a d : ℕ
h : 0 = succ (a + d)
⊢ a = 0
","case succ
a d : ℕ
h : 0 = succ (a + d)
⊢ a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,"-- But since 0 is not the successor of anything, we have a contradiction/falsehood.",cases h,apply zero_ne_succ at h,"case succ
a d : ℕ
h : False
⊢ a = 0
",,No
AdvAddition_world_val,add_right_eq_zero,"-- Since a contradiction/falsehood implies anything, we are done.",cases h,cases h,,error,Yes
AdvAddition_world_val,add_right_eq_zero,-- either b = 0 or b = succ d for some natural number d,cases b with d,cases b with d,"case zero
a : ℕ
⊢ a + 0 = 0 → a = 0
case succ
a d : ℕ
⊢ a + succ d = 0 → a = 0
","case zero
a : ℕ
⊢ a + 0 = 0 → a = 0
case succ
a d : ℕ
⊢ a + succ d = 0 → a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,-- (case 1) assume a + 0 = 0,intro h,intro h,"case zero
a : ℕ
h : a + 0 = 0
⊢ a = 0
case succ
a d : ℕ
⊢ a + succ d = 0 → a = 0
","case zero
a : ℕ
h : a + 0 = 0
⊢ a = 0
case succ
a d : ℕ
⊢ a + succ d = 0 → a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,-- a + 0 = 0 -> a = 0,rw [add_zero] at h,rw [add_zero] at h,"case zero
a : ℕ
h : a = 0
⊢ a = 0
case succ
a d : ℕ
⊢ a + succ d = 0 → a = 0
","case zero
a : ℕ
h : a = 0
⊢ a = 0
case succ
a d : ℕ
⊢ a + succ d = 0 → a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,"-- a = 0, as desired",exact h,exact h,"case succ
a d : ℕ
⊢ a + succ d = 0 → a = 0
","case succ
a d : ℕ
⊢ a + succ d = 0 → a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,-- (case 2) assume a + succ d = 0,intro h,intro h,"case succ
a d : ℕ
h : a + succ d = 0
⊢ a = 0
","case succ
a d : ℕ
h : a + succ d = 0
⊢ a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,-- a + succ d = 0 -> succ (a + d) = 0,rw [add_succ] at h,rw [add_succ] at h,"case succ
a d : ℕ
h : succ (a + d) = 0
⊢ a = 0
","case succ
a d : ℕ
h : succ (a + d) = 0
⊢ a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,-- succ (a + d) = 0 -> 0 = succ (a + d),symm at h,symm at h,"case succ
a d : ℕ
h : 0 = succ (a + d)
⊢ a = 0
","case succ
a d : ℕ
h : 0 = succ (a + d)
⊢ a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,-- 0 = succ (a + d) -> False,apply zero_ne_succ at h,apply zero_ne_succ at h,"case succ
a d : ℕ
h : False
⊢ a = 0
","case succ
a d : ℕ
h : False
⊢ a = 0
",Yes
AdvAddition_world_val,add_right_eq_zero,-- False -> anything,cases h,cases h,,,Yes
addition_world_val,zero_add,-- Induct on n,induction n with d hd,induction n with d hd,"case zero
⊢ 0 + 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case zero
⊢ 0 + 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",Yes
addition_world_val,zero_add,-- substitute 0 -> 0 + 0 into the RHS giving us 0 + 0 = 0 + 0,rw [add_zero],nth_rewrite 3 [← add_zero 0],"case zero
⊢ 0 + 0 = 0 + 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",No
addition_world_val,zero_add,"-- 0 + 0 = 0 + 0, completing base case",rfl,rfl,"case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",Yes
addition_world_val,zero_add,-- 0 + succ d -> succ (0 + d) on LHS giving us succ (0 + d) = succ d,rw [add_succ],rw [add_succ],"case succ
d : ℕ
hd : 0 + d = d
⊢ succ (0 + d) = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ succ (0 + d) = succ d
",Yes
addition_world_val,zero_add,-- 0 + d -> d on LHS -> succ d = succ d,rw [hd],rw [hd],"case succ
d : ℕ
hd : 0 + d = d
⊢ succ d = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ succ d = succ d
",Yes
addition_world_val,zero_add,"-- succ d = succ d, QED",rfl,rfl,,,Yes
addition_world_val,zero_add,-- Begin by initiating induction on n,induction n with d hd,induction n with d hd,"case zero
⊢ 0 + 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case zero
⊢ 0 + 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",Yes
addition_world_val,zero_add,-- Using the properties of addition by 0 we can rewrite 0 + 0 to 0 on the LHS,rw [add_zero],rw [add_zero],"case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",Yes
addition_world_val,zero_add,"-- Since both sides are equal, we are done with the base case",rfl,rfl,"case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ 0 + succ d = succ d
",Yes
addition_world_val,zero_add,-- Now using properties of successors we can rewrite 0 + succ d to succ (0 + d) on the LHS getting succ (0 + d) = succ d,rw [add_succ],rw [add_succ],"case succ
d : ℕ
hd : 0 + d = d
⊢ succ (0 + d) = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ succ (0 + d) = succ d
",Yes
addition_world_val,zero_add,-- Using the induction hypothesis we can rewrite succ (0 + d) to succ d,rw [hd],rw [hd],"case succ
d : ℕ
hd : 0 + d = d
⊢ succ d = succ d
","case succ
d : ℕ
hd : 0 + d = d
⊢ succ d = succ d
",Yes
addition_world_val,zero_add,"-- Since both sides are equal, we are done with the proof",rfl,rfl,,,Yes
